time,q_cmd,q_meas,theta_cmd,theta_meas
2.255,0,-0.000767178,-0.000570804,-0.000767178
2.26,0,-0.000767178,-0.000564187,-0.000767178
2.265,0,-0.000767178,-0.00055748,-0.000767178
2.27,0,-0.000767178,-0.000550689,-0.000767178
2.275,0,0.000767178,-0.00129767,0.000767178
2.28,0,0.000767178,-0.00127022,0.000767178
2.285,0,0.000767178,-0.0012458,0.000767178
2.29,0,0.000767178,-0.00122414,0.000767178
2.295,0,0.000767178,-0.00120501,0.000767178
2.3,0,0.000767178,-0.00118818,0.000767178
2.305,0,-0.000767178,-0.000419627,-0.000767178
2.31,0,-0.000767178,-0.000427353,-0.000767178
2.315,0,-0.000767178,-0.000433753,-0.000767178
2.32,0,-0.000767178,-0.00043894,-0.000767178
2.325,0,-0.000767178,-0.00044302,-0.000767178
2.33,0,-0.000767178,-0.000446088,-0.000767178
2.335,0,-0.000767178,-0.000448231,-0.000767178
2.34,0,-0.000767178,-0.000449529,-0.000767178
2.345,0,-0.000767178,-0.000450054,-0.000767178
2.35,0,-0.000767178,-0.000449873,-0.000767178
2.355,0,-0.000767178,-0.000449047,-0.000767178
2.36,0,-0.000767178,-0.000447631,-0.000767178
2.365,0,-0.000767178,-0.000445676,-0.000767178
2.37,0,-0.000767178,-0.000443229,-0.000767178
2.375,0,-0.000767178,-0.000440332,-0.000767178
2.38,0,-0.000767178,-0.000437024,-0.000767178
2.385,0,-0.000767178,-0.00043334,-0.000767178
2.39,0,-0.000767178,-0.000429312,-0.000767178
2.395,0,-0.000767178,-0.000424971,-0.000767178
2.4,0,-0.000767178,-0.000420342,-0.000767178
2.405,0,-0.000767178,-0.000415452,-0.000767178
2.41,0,-0.000767178,-0.000410322,-0.000767178
2.415,0,-0.000767178,-0.000404973,-0.000767178
2.42,0,-0.000767178,-0.000399424,-0.000767178
2.425,0,-0.000767178,-0.000393692,-0.000767178
2.43,0,-0.000767178,-0.000387793,-0.000767178
2.435,0,-0.000767178,-0.000381742,-0.000767178
2.44,0,-0.000767178,-0.000375551,-0.000767178
2.445,0,-0.000767178,-0.000369232,-0.000767178
2.45,0,-0.000767178,-0.000362797,-0.000767178
2.455,0,-0.000767178,-0.000356255,-0.000767178
2.46,0,-0.000767178,-0.000349616,-0.000767178
2.465,0,-0.000767178,-0.000342888,-0.000767178
2.47,0,-0.000767178,-0.000336079,-0.000767178
2.475,0,-0.000767178,-0.000329195,-0.000767178
2.48,0,-0.000767178,-0.000322244,-0.000767178
2.485,0,-0.000767178,-0.00031523,-0.000767178
2.49,0,-0.000767178,-0.00030816,-0.000767178
2.495,0,-0.000767178,-0.000301038,-0.000767178
2.5,0,-0.000767178,-0.000293869,-0.000767178
2.505,0,-0.000767178,-0.000286656,-0.000767178
2.51,0,-0.000767178,-0.000279404,-0.000767178
2.515,0,-0.000767178,-0.000272115,-0.000767178
2.52,0,-0.000767178,-0.000264794,-0.000767178
2.525,0,-0.000767178,-0.000257443,-0.000767178
2.53,0,0.000767178,-0.00100391,0.000767178
2.535,0,0.000767178,-0.000975992,0.000767178
2.54,0,0.000767178,-0.000951142,0.000767178
2.545,0,0.000767178,-0.000929092,0.000767178
2.55,0,0.000767178,-0.000909603,0.000767178
2.555,0,0.000767178,-0.000892453,0.000767178
2.56,0,-0.000767178,-0.000123597,-0.000767178
2.565,0,-0.000767178,-0.00013105,-0.000767178
2.57,0,-0.000767178,-0.0001372,-0.000767178
2.575,0,-0.000767178,-0.000142159,-0.000767178
2.58,0,-0.000767178,-0.000146031,-0.000767178
2.585,0,-0.000767178,-0.000148909,-0.000767178
2.59,0,-0.000767178,-0.000150878,-0.000767178
2.595,0,-0.000767178,-0.000152016,-0.000767178
2.6,0,-0.000767178,-0.000152396,-0.000767178
2.605,0,-0.000767178,-0.000152082,-0.000767178
2.61,0,-0.000767178,-0.000151135,-0.000767178
2.615,0,-0.000767178,-0.000149608,-0.000767178
2.62,0,-0.000767178,-0.000147552,-0.000767178
2.625,0,-0.000767178,-0.000145012,-0.000767178
2.63,0,-0.000767178,-0.000142031,-0.000767178
2.635,0,-0.000767178,-0.000138645,-0.000767178
2.64,0,-0.000767178,-0.00013489,-0.000767178
2.645,0,-0.000767178,-0.000130798,-0.000767178
2.65,0,-0.000767178,-0.000126398,-0.000767178
2.655,0,-0.000767178,-0.000121716,-0.000767178
2.66,0,0.000767178,-0.00087062,0.000767178
2.665,0,0.000767178,-0.000844934,0.000767178
2.67,0,0.000767178,-0.000822121,0.000767178
2.675,0,0.000767178,-0.000801933,0.000767178
2.68,0,0.000767178,-0.000784145,0.000767178
2.685,0,0.000767178,-0.00076855,0.000767178
2.69,0,0.000767178,-0.000754959,0.000767178
2.695,0,0.000767178,-0.000743199,0.000767178
2.7,0,0.000767178,-0.000733113,0.000767178
2.705,0,0.000767178,-0.000724557,0.000767178
2.71,0,0.000767178,-0.000717398,0.000767178
2.715,0,0.000767178,-0.000711516,0.000767178
2.72,0,0.000767178,-0.000706802,0.000767178
2.725,0,0.000767178,-0.000703155,0.000767178
